DATE_TIME	TIMESTAMP	HEART_RATE	CADENCE	SPEED_SENSOR	SPEED_GPS	SPEED_SMOOTHED	PRESSURE	TEMPERATURE	LATITUDE_6	LONGITUDE_6	ACCURACY_GPS	ALTITUDE_GPS	ALTITUDE_BARO	ALTITUDE_SMOOTHED	DISTANCE_SENSOR	DISTANCE_GPS	BEARING	SLOPE_GPS	SLOPE_SMOOTHED	V_SPEED_GPS	V_SPEED_SMOOTHED
2021-01-08T15:49:31+0100	1610117371398	115			0.00	0.00			47081599	15442279	5	395.87		395.87		0.00		0.00	0.00	0.00	0.00
2021-01-08T15:49:32+0100	1610117372525	115			1.95	1.74			47081587	15442302	4	396.01		396.01		2.19	127.46	6.38	6.46	7.45	6.65
2021-01-08T15:49:33+0100	1610117373596	115			1.61	1.67			47081581	15442323	4	396.12		396.12		3.92	112.76	6.38	6.50	6.16	6.71
2021-01-08T15:49:34+0100	1610117374497	116			2.02	1.71			47081571	15442342	3	396.24		396.24		5.74	127.70	6.60	6.54	7.99	6.82
2021-01-08T15:49:35+0100	1610117375525	116			1.40	1.67			47081560	15442352	3	396.33		396.33		7.18	148.24	6.26	6.50	5.25	6.92
2021-01-08T15:49:36+0100	1610117376532	114			1.37	1.70			47081552	15442366	3	396.42		396.42		8.56	130.00	6.50	6.54	5.36	7.00
2021-01-08T15:49:37+0100	1610117377539	112			1.93	1.68			47081543	15442388	3	396.55		396.55		10.50	121.00	6.69	6.52	7.75	7.02
2021-01-08T15:49:38+0100	1610117378531	112			1.74	1.80			47081539	15442410	3	396.66		396.66		12.23	104.95	6.38	6.58	6.65	7.04
2021-01-08T15:49:39+0100	1610117379540	112			1.76	1.88			47081536	15442433	3	396.78		396.78		14.00	100.84	6.77	6.57	7.14	7.14
2021-01-08T15:49:40+0100	1610117380546	110			1.89	1.88			47081534	15442458	3	396.91		396.91		15.91	96.70	6.82	6.59	7.75	7.03
2021-01-08T15:49:41+0100	1610117381540	109			2.10	1.89			47081530	15442485	3	397.04		397.04		18.00	102.27	6.21	6.61	7.85	7.19
2021-01-08T15:49:42+0100	1610117382534	108			1.88	1.92			47081526	15442509	3	397.17		397.17		19.87	103.75	6.95	6.64	7.85	7.33
2021-01-08T15:49:43+0100	1610117383535	108			1.91	1.87			47081519	15442532	3	397.29		397.29		21.78	114.08	6.29	6.61	7.19	7.25
2021-01-08T15:49:44+0100	1610117384544	109			1.82	1.83			47081512	15442554	3	397.42		397.42		23.62	115.04	7.07	6.67	7.73	7.29
2021-01-08T15:49:45+0100	1610117385528	109			1.94	1.80			47081505	15442577	3	397.54		397.54		25.52	114.08	6.29	6.66	7.32	7.30
2021-01-08T15:49:46+0100	1610117386539	110			1.59	1.78			47081503	15442598	3	397.65		397.65		27.13	97.96	6.85	6.61	6.53	7.22
2021-01-08T15:49:47+0100	1610117387536	110			1.82	1.75			47081503	15442622	3	397.77		397.77		28.95	90.00	6.60	6.65	7.22	7.11
2021-01-08T15:49:48+0100	1610117388560	110			1.71	1.73			47081505	15442645	3	397.89		397.89		30.70	82.72	6.83	6.64	7.03	7.06
2021-01-08T15:49:49+0100	1610117389531	110			1.80	1.76			47081506	15442668	3	398.00		398.00		32.45	86.35	6.30	6.69	6.80	7.00
2021-01-08T15:49:50+0100	1610117390540	110			1.65	1.74			47081506	15442690	3	398.12		398.12		34.11	90.00	7.20	6.63	7.14	6.91
2021-01-08T15:49:51+0100	1610117391542	110			1.82	1.75			47081505	15442714	3	398.24		398.24		35.93	93.50	6.59	6.68	7.19	6.84
2021-01-08T15:49:52+0100	1610117392519	111			1.79	1.71			47081504	15442737	3	398.35		398.35		37.68	93.65	6.30	6.68	6.76	6.92
2021-01-08T15:49:53+0100	1610117393515	111			1.67	1.72			47081504	15442759	3	398.46		398.46		39.34	90.00	6.60	6.66	6.63	6.87
2021-01-08T15:49:54+0100	1610117394516	111			1.75	1.69			47081506	15442782	3	398.58		398.58		41.10	82.72	6.83	6.63	7.19	6.78
2021-01-08T15:49:55+0100	1610117395527	111			1.59	1.69			47081508	15442803	3	398.69		398.69		42.70	82.04	6.85	6.70	6.53	6.76
2021-01-08T15:49:56+0100	1610117396535	112			1.71	1.70			47081512	15442825	3	398.80		398.80		44.43	75.05	6.38	6.65	6.55	6.66
2021-01-08T15:49:57+0100	1610117397537	112			1.61	1.66			47081517	15442845	3	398.91		398.91		46.04	69.84	6.82	6.70	6.59	6.60
2021-01-08T15:49:58+0100	1610117398498	112			1.83	1.65			47081522	15442867	3	399.03		399.03		47.80	71.54	6.83	6.75	7.49	6.55
2021-01-08T15:49:59+0100	1610117399500	112			1.72	1.62			47081526	15442889	3	399.14		399.14		49.52	75.05	6.38	6.79	6.59	6.51
2021-01-08T15:50:00+0100	1610117400502	111			1.53	1.60			47081528	15442909	3	399.24		399.24		51.05	81.65	6.53	6.78	5.99	6.42
2021-01-08T15:50:01+0100	1610117401509	111			1.54	1.54			47081531	15442929	3	399.35		399.35		52.60	77.58	7.09	6.81	6.55	6.42
2021-01-08T15:50:02+0100	1610117402518	111			1.50	1.50			47081532	15442949	3	399.45		399.45		54.12	85.80	6.59	6.91	5.95	6.46
2021-01-08T15:50:03+0100	1610117403537	111			1.49	1.49			47081533	15442969	3	399.56		399.56		55.64	85.80	7.24	6.94	6.48	6.35
2021-01-08T15:50:04+0100	1610117404521	110			1.48	1.49			47081535	15442988	3	399.66		399.66		57.10	81.21	6.87	7.04	6.10	6.23
2021-01-08T15:50:05+0100	1610117405490	110			1.45	1.49			47081538	15443006	3	399.76		399.76		58.50	76.25	7.13	7.17	6.19	6.18
2021-01-08T15:50:06+0100	1610117406487	110			1.48	1.45			47081543	15443024	3	399.86		399.86		59.97	67.81	6.79	7.30	6.02	6.24
2021-01-08T15:50:07+0100	1610117407488	109			1.54	1.40			47081548	15443043	3	399.97		399.97		61.51	68.87	7.13	7.43	6.59	6.29
2021-01-08T15:50:08+0100	1610117408523	109			1.52	1.38			47081552	15443063	3	400.09		400.09		63.09	73.63	7.60	7.64	6.96	6.45
2021-01-08T15:50:09+0100	1610117409531	109			1.25	1.36			47081555	15443079	3	400.18		400.18		64.35	74.61	7.16	7.81	5.36	6.55
2021-01-08T15:50:10+0100	1610117410538	109			1.19	1.33			47081560	15443093	3	400.28		400.28		65.55	62.32	8.35	7.99	5.96	6.69
2021-01-08T15:50:11+0100	1610117411532	110			1.27	1.32			47081565	15443108	3	400.38		400.38		66.81	63.92	7.91	8.13	6.04	6.87
2021-01-08T15:50:12+0100	1610117412519	110			1.40	1.34			47081572	15443123	3	400.49		400.49		68.19	55.58	7.99	8.37	6.69	7.14
2021-01-08T15:50:13+0100	1610117413524	110			1.37	1.39			47081579	15443138	3	400.61		400.61		69.56	55.58	8.72	8.54	7.16	7.27
2021-01-08T15:50:14+0100	1610117414527	109			1.45	1.44			47081585	15443155	3	400.74		400.74		71.01	62.60	8.97	8.63	7.78	7.29
